MOF	LCD	PLD	Vol_SA	Grav_SA	Void_fraction
EKOPUQ_clean	11.06416	8.02745	1682.63	1730.44	0.1976
EKUPEG_clean	12.15079	8.26476	1632.32	1886.63	0.3727
ELAZEX_clean	3.63212	2.66568	0.0	0.0	0.0
ELELEN_clean	7.0748	4.1882	1362.02	1487.28	0.1231
ELEREU_clean	15.53932	10.30838	1802.59	2329.98	0.38142
ELERIX01_clean	3.89315	3.2874	147.55	60.0605	0.00504
ELERIX_clean	3.74206	3.05944	0.0	0.0	0.0028
ELERIY_clean	13.06874	6.51652	2379.5	3107.59	0.32054
ELEROD_clean	3.78143	3.11114	102.469	40.5176	0.00316
ELIJOZ_clean	5.0309	3.85268	1304.68	880.049	0.07044
ELIJUF_clean	4.98722	3.63869	1216.38	894.27	0.06436
ELIKAM_clean	5.04335	3.82798	1299.96	868.412	0.07158
ELIKEQ_clean	4.99766	3.80728	1274.46	842.958	0.06816
ELIKIU_clean	4.97124	3.7531	1249.1	806.828	0.06908
ELIKOA_clean	4.97213	3.73339	1265.46	812.189	0.06516
ELIKUG_clean	4.95561	3.7268	1279.26	809.819	0.06484
ELILAN_clean	4.95628	3.69174	1221.84	758.075	0.06446
ELILER_clean	4.98078	3.65658	1268.65	775.001	0.06274
ELILIV_clean	4.97952	3.62473	1206.88	734.319	0.06322
ELIYUU_clean	4.2995	2.47938	0.0	0.0	0.0
ELOFIU_charged	3.55229	2.84877	0.0	0.0	0.00586
ELOGUJ_clean	5.2439	3.95274	1100.24	350.613	0.0564
ELOHOE_clean	5.56549	4.27537	1209.87	1052.05	0.06802
ELOXIN_clean	3.6055	3.27755	375.562	229.872	0.01284
ELOZEK_clean	5.94525	5.24436	320.343	114.371	0.02332
ELUJAY_clean	4.49095	3.64747	1024.0	609.489	0.0411
ELUJEC_clean	4.38047	3.64592	1013.8	585.34	0.03854
ELUQIM01_clean	2.91764	2.42991	0.0	0.0	0.0
ELUQIM13_clean	2.90949	2.42675	0.0	0.0	0.0
ELUZES_clean	5.83115	4.20879	2178.29	1258.33	0.133
EMAFII_charged	7.06101	2.84508	0.0	0.0	0.06704
EMAGAB_clean	7.29476	4.84283	888.629	655.244	0.084
EMAMOW_clean	6.67757	5.81943	1030.11	921.106	0.09902
EMAMUC_clean	5.84513	5.03009	872.921	713.915	0.06572
EMANAH_clean	3.45596	2.77101	0.0	0.0	0.0
EMAPAK_clean	11.21755	3.61918	1608.96	1738.72	0.21708
EMEGEJ_clean	5.14373	2.62137	0.0	0.0	0.0
EMEJUD_clean	4.83142	2.9809	0.0	0.0	0.02814
EMICUZ_clean	4.0744	2.53854	0.0	0.0	0.0
EMIFOW_clean	7.56186	4.84974	2903.42	2070.56	0.28484
EMIGAJ_charged	12.66503	10.75886	2242.54	2030.08	0.42968
EMIGEN_charged	9.93361	9.15754	2302.12	2106.2	0.42152
EMIGIR_charged	7.59015	4.82509	2798.42	2007.32	0.28786
EMIGOX_clean	6.95421	5.10297	2409.44	1570.26	0.22112
EMIGUD_charged	7.15691	4.93813	2400.11	1606.04	0.22274
EMIHAK_charged	6.82599	5.00524	2346.97	1580.76	0.20864
EMIHEO_charged	9.11282	7.59699	2471.96	1719.96	0.35298
EMIYEF_clean	4.02053	2.70329	0.0	0.0	0.0
EMIYUW_clean	10.6209	7.98188	2359.98	3381.0	0.39432
EMIZAD_clean	35.58882	34.51069	1447.82	3788.28	0.65876
EMODOZ_clean	4.35663	2.66889	0.0	0.0	0.0
EMOFIX_clean	4.4277	3.35987	696.611	547.838	0.02414
EMOHIZ_clean	4.57808	3.51835	775.946	626.761	0.02988
EMOSOO_clean	4.07662	2.98298	0.0	0.0	0.02544
EMOSOP_clean	3.77415	2.42916	0.0	0.0	0.0
EMUBIZ_clean	10.77303	6.68088	1774.03	1292.75	0.25942
EMUBOF_clean	9.89745	6.63764	2157.05	1799.42	0.24992
EMUTUD_clean	4.92374	3.19899	1329.76	830.61	0.06474
EMUVAL_clean	4.91536	3.20327	1370.66	858.732	0.06426
EMUYAM_clean	4.21039	3.17028	94.4278	50.6686	0.00328
ENAFAB_clean	11.6148	4.31195	1620.16	637.243	0.18308
ENAFOP_ion_b	11.60166	8.24635	1155.8	978.574	0.2028
ENANIS_clean	4.58864	4.1598	858.331	641.813	0.04164
ENERIY_clean	5.50898	2.89112	0.0	0.0	0.0425
ENESOH_clean	8.38054	5.7847	2569.59	4019.98	0.31302
ENESUN_clean	8.35126	5.49783	2524.19	4027.8	0.30628
ENIHUG01_clean	13.78566	6.83219	2413.03	4124.61	0.44866
ENIHUG_clean	13.82069	6.83124	2414.93	4153.05	0.44864
ENISOK_clean	6.962	4.5443	1920.04	1677.89	0.17438
ENISUQ_clean	6.6554	4.37963	1910.97	1925.88	0.16118
ENITAX_clean	10.08149	7.22011	2360.49	4119.09	0.45392
ENITEB_clean	7.9765	5.25239	2245.94	2469.56	0.23532
ENITIF_clean	6.04006	4.14792	1982.06	1994.55	0.13006
ENITOL_clean	9.0167	5.78838	1697.05	1662.63	0.17724
ENIXUV_clean	6.81302	4.75487	1668.46	1590.59	0.13064
ENOSAD_clean	5.57968	5.07062	1177.22	718.751	0.08292
ENOVAG_clean	10.23983	9.51593	1542.74	1191.26	0.2625
ENUCOG_clean	4.91468	3.25846	858.976	461.601	0.03396
EPAGEJ_clean	5.19961	3.47948	938.383	562.561	0.04446
EPAVAU_clean	5.39915	3.19554	998.784	607.362	0.0504
EPECEJ_clean	7.92371	4.89913	2129.56	2344.06	0.19568
EPECIN_clean	7.47499	2.63162	0.0	0.0	0.0
EPEWAY_clean	5.86305	5.34538	1204.88	948.023	0.096
EPEWEC_clean	5.88152	5.35243	1218.97	958.379	0.09848
EPEXUU_clean	8.78791	3.92519	1272.58	1048.55	0.13386
EPEYAB_clean	8.46111	3.62498	1259.62	1011.17	0.1255
EPISOM_clean	12.63938	6.49016	2313.06	3413.52	0.38942
EPONAA_clean	9.18286	8.73453	2540.2	5129.81	0.54466
EPONEE_clean	9.19024	8.74095	2534.92	5143.76	0.5467
EPOPEG_clean	5.47224	4.77054	1932.6	2021.78	0.1285
EPOTAF_clean	7.63453	6.61136	2971.59	5165.81	0.38502
EPOXAJ_clean	4.90808	3.54046	1644.69	456.726	0.07482
EPUJIJ_clean	3.7032	2.62655	0.0	0.0	0.0
EPUTUF_charged	5.06045	3.27487	733.287	544.71	0.0377
EPUVAN_charged	5.15881	3.28622	729.131	538.963	0.03898
EPUXET_clean	4.89022	3.26125	796.042	633.88	0.0378
EQAMUG_clean	4.23795	3.61938	982.534	540.2	0.03762
EQERAU_clean	8.66462	5.10134	1918.96	2311.48	0.23206
EQEREY_clean	6.76077	5.17427	1689.83	1558.42	0.13866
EQERIC_clean	5.65308	5.10575	1557.02	1436.94	0.12426
EQEROJ_clean	4.01825	2.96035	0.0	0.0	0.02138
EQETAX_clean	6.01885	5.05908	2162.66	2427.82	0.16026
EQIWAD_clean	3.10476	2.68358	0.0	0.0	0.0
EQOCES01_clean	5.48857	3.12659	1348.97	1235.71	0.076
EQOCES_clean	5.59526	2.46849	0.0	0.0	0.0
EQOCIW_clean	5.70211	2.46041	0.0	0.0	0.0
